ID;AÑO;NT1_1;NT1_2;NT1_3;NT1_4;NT2_1;NT2_2;NT2_3;NT2_4;NT2_5;NT3;NT3_1;NT3_2;NT3_3;NT4_1;NT4_2;NT4_3;NT5_1;NT5_2;NT5_3;NT5_4;NT5_5;NT5_6;NT5_7;NT5_8;NT5_9;NT5_10;NT5_11;NT5_12;EDAD;SEXO;GRUPO_DE_EDAD;ZONA;PONDERA
44;2014;1;1;1;1;1;2;1;1;1;1;1;8; ;1;2;3;1;3;4;5;7;8;10;14;15; ; ; ;20;1;2;1;1060.76109176079
45;2014;1;2;1;1;1;1;2;1;2;1;1; ; ;1;2;4;5;7;9;11; ; ; ; ; ; ; ; ;17;1;1;1;601.311272298473
47;2014;1;1;1;2;1;2;1;1;1;1;8;1;6;2;1;6;3;4;5;6;7;8;10; ; ; ; ; ;20;1;2;1;554.709928718945
58;2014;1;2;1;1;2;2;1;1;2;1;1;4;6;1;2;3;3;4;6;7;8;9;10;11; ; ; ; ;15;1;1;1;667.510678423075
77;2014;1;1;1;1;1;2;1;1;1;1;1; ; ;6;2; ;99; ; ; ; ; ; ; ; ; ; ; ;15;1;1;1;541.370040198783
98;2014;2;1;1;2;2;2;1;2;2;1;1; ; ;1;2;3;2;4;6;7;10;11; ; ; ; ; ; ;16;1;1;1;282.679446139724
103;2014;1;1;1;1;2;2;1;1;1;1;8; ; ;2;3; ;3;10; ; ; ; ; ; ; ; ; ; ;19;1;1;1;534.886566663468
106;2014;1;2;1;1;2;2;1;1;2;1;1; ; ;2;3; ;2;3;9; ; ; ; ; ; ; ; ; ;16;1;1;1;404.568748603641
126;2014;1;1;1;1;1;2;1;1;1;1;1;6;8;2;1;4;3;4;5;6;7;8;9;10;11; ; ; ;16;1;1;1;321.580287351612
130;2014;2;1;1;1;1;2;1;2;1;1;1;8;6;2;1;4;3;4;5;6;7;8;9;10; ; ; ; ;15;1;1;1;321.580287351612
135;2014;1;1;1;1;1;2;1;1;2;1;1; ; ;2;6; ;7;9;11; ; ; ; ; ; ; ; ; ;20;1;2;1;553.568463249683
138;2014;1;1;1;1;1;2;2;1;1;1;1; ; ;2;6; ;3;7; ; ; ; ; ; ; ; ; ; ;16;1;1;1;347.514181492871
143;2014;1;1;1;1;2;2;1;1;2;1;1;8; ;2;4;1;3;4;6;7;9; ; ; ; ; ; ; ;17;1;1;1;256.745551998465
144;2014;1;2;1;1;1;2;1;1;2;1;1;8; ;2;1;5;3;4;5;7;8; ; ; ; ; ; ; ;18;1;1;1;256.745551998465
161;2014;1;1;1;1;2;1;2;1;2;1;1; ; ;6;2; ;7;9; ; ; ; ; ; ; ; ; ; ;19;1;1;1;435.689421573152
166;2014;2;1;1;2;1;2;1;2;1;1;1;8; ;2;1;4;3;4;5;6;7;8;9; ; ; ; ; ;16;1;1;1;456.436536886159
184;2014;1;1;1;1;1;2;1;1;1;1;1;8;4;2;3;1;1;3;4;5;6;7;8;9;10;11;12;14;21;1;2;1;1168.04172210207
186;2014;1;2;1;2;2;2;1;1;2;1;1;8;4;6;2;3;2;3;4;5;7;10;11;12;14;15; ; ;18;1;1;1;830.400117413426
202;2014;1;1;1;1;1;2;1;1;1;1;1; ; ;22;2;6;3;8;9; ; ; ; ; ; ; ; ; ;15;1;1;1;1042.572834638
212;2014;1;1;1;1;1;2;1;1;1;1;1;3;5;1;6;2;4;6;10; ; ; ; ; ; ; ; ; ;24;1;2;1;890.551147238043
215;2014;2;1;1;1;1;2;1;2;1;1;1;4;8;2;8;1;2;6;8; ; ; ; ; ; ; ; ; ;17;1;1;1;504.824740982611
226;2014;1;2;1;2;2;2;1;2;2;1;1; ; ;2;6;3;1;4;6;8;10;14; ; ; ; ; ; ;15;1;1;1;629.201851079776
237;2014;1;1;1;1;1;2;1;1;1;1;1;6; ;2;3;6;2;5;6; ; ; ; ; ; ; ; ; ;18;1;1;1;292.652023758036
238;2014;1;1;1;1;1;2;1;1;1;1;1;6; ;3;5;6;2;3;7; ; ; ; ; ; ; ; ; ;16;1;1;1;292.652023758036
241;2014;1;1;1;2;2;2;1;2;2;1;1;6;8;1;2;6;2;3;4;5;7;8;10; ; ; ; ; ;15;1;1;1;856.007169492254
244;2014;1;2;1;2;2;2;1;2;2;1;1;6; ;1;4;3;2;3;4;5;7;8;10; ; ; ; ; ;16;1;1;1;856.007169492254
3;2014;2;2;1;2;2;2;1;2;2;1;1;8; ;2;5;6;2;3;4;5;6;7;8;9;10;12;14;15;25;2;3;1;210.580762855323
4;2014;1;1;1;2;2;2;1;1;1;1;1;8;4;1;2;6;2;3;4;5;7;8;9;10;11;12;14;15;20;2;2;1;198.136559125325
8;2014;1;2;1;2;2;2;1;2;2;1;8;1;4;2;1;6;3;7;8;10;12;14;15; ; ; ; ; ;22;2;2;1;392.388087679565
12;2014;2;1;1;2;2;1;2;2;1;1;2;1; ;1;2; ;1;3;4;7;8;10;14;15; ; ; ; ;29;2;3;1;524.387389855413
15;2014;1;2;1;2;2;2;1;1;2;1;1;8;4;1;2;6;2;3;4;5;7;8;10;14; ; ; ; ;22;2;2;1;493.398882527769
19;2014;2;1;1;2;2;2;1;2;1;1;1;5;8;2; ; ;2;3;4;7;8;10;14;15; ; ; ; ;23;2;2;1;594.409677375974
22;2014;2;1;1;2;2;2;1;2;1;1;1;8; ;2;1;6;1;2;3;4;5;7;10;13;14; ; ; ;29;2;3;1;701.935876184411
24;2014;2;1;1;2;1;2;1;2;1;1;1;5;8;5;2; ;1;2;3;4;5;7;8;10;13;14;15; ;28;2;3;1;701.935876184411
